num_detections,total_damage_area_ratio,avg_box_area_ratio,max_box_area_ratio,min_box_area_ratio,var_box_area_ratio,damage_density,class_1_count,class_2_count,class_3_count,class_4_count,class_entropy,mean_confidence,label
6,1.408077597618103,0.23467959463596344,0.4598783552646637,0.05366465449333191,0.030164703726768494,0.23467959463596344,1,5,0,0,0.45056120886630463,0.584721028804779,1
2,0.5912106037139893,0.29560530185699463,0.4496251940727234,0.14158539474010468,0.023722130805253983,0.29560530185699463,0,2,0,0,0.0,0.8625982999801636,1
2,0.0895426869392395,0.04477134346961975,0.0758790671825409,0.013663620688021183,0.0009676904883235693,0.04477134346961975,0,2,0,0,0.0,0.835883617401123,1
6,0.2322288602590561,0.03870480880141258,0.0732358768582344,0.0025154519826173782,0.0006487454520538449,0.03870480880141258,0,2,0,4,0.6365141682948128,0.7868409752845764,1
3,0.5324033498764038,0.17746777832508087,0.25742533802986145,0.11777129769325256,0.003455797443166375,0.17746777832508087,0,2,0,1,0.6365141682948128,0.7880968451499939,1
4,0.8490479588508606,0.21226198971271515,0.5138227939605713,0.0022457961458712816,0.03712920844554901,0.21226198971271515,0,3,0,1,0.5623351446188083,0.7289975881576538,1
2,0.433761328458786,0.216880664229393,0.4037392735481262,0.03002205491065979,0.034916140139102936,0.216880664229393,1,1,0,0,0.6931471805599453,0.6175843477249146,1
3,0.9477193355560303,0.31590643525123596,0.477645605802536,0.008349557407200336,0.047337859869003296,0.31590643525123596,2,1,0,0,0.6365141682948128,0.7911521792411804,1
4,0.31264975666999817,0.07816243916749954,0.12186087667942047,0.0026752171106636524,0.0020283192861825228,0.07816243916749954,0,2,0,2,0.6931471805599453,0.6597760319709778,1
2,0.2042950987815857,0.10214754939079285,0.11945675313472748,0.08483834564685822,0.00029960853862576187,0.10214754939079285,2,0,0,0,0.0,0.9374567866325378,1
3,0.4212985932826996,0.14043286442756653,0.3287632465362549,0.01590418629348278,0.01834879443049431,0.14043286442756653,1,2,0,0,0.6365141682948128,0.7508201599121094,1
4,0.8560633659362793,0.21401584148406982,0.5330100655555725,0.012148079462349415,0.04600004106760025,0.21401584148406982,4,0,0,0,0.0,0.7782517075538635,1
4,0.15039953589439392,0.03759988397359848,0.07322517782449722,0.007002953439950943,0.0007631987100467086,0.03759988397359848,0,3,0,1,0.5623351446188083,0.6621311902999878,1
4,0.212721049785614,0.0531802624464035,0.08596891164779663,0.03236468881368637,0.0004151524044573307,0.0531802624464035,0,3,0,1,0.5623351446188083,0.6566312313079834,1
3,0.07855375856161118,0.02618458680808544,0.05807284638285637,0.006564704235643148,0.000517437991220504,0.02618458680808544,0,3,0,0,0.0,0.7613843083381653,1
2,0.6653652191162109,0.33268260955810547,0.5144261121749878,0.15093913674354553,0.03303069621324539,0.33268260955810547,1,1,0,0,0.6931471805599453,0.752814531326294,1
3,0.16531382501125336,0.055104609578847885,0.15340866148471832,0.0022325231693685055,0.004841069225221872,0.055104609578847885,0,2,0,1,0.6365141682948128,0.772888720035553,1
2,0.3207736611366272,0.1603868305683136,0.20667149126529694,0.11410216242074966,0.0021422700956463814,0.1603868305683136,1,1,0,0,0.6931471805599453,0.9224076271057129,1
3,0.5009999871253967,0.16699999570846558,0.33765092492103577,0.030794521793723106,0.01628672145307064,0.16699999570846558,0,3,0,0,0.0,0.7297980189323425,1
2,0.550478458404541,0.2752392292022705,0.33212172985076904,0.21835674345493317,0.003235618118196726,0.2752392292022705,1,1,0,0,0.6931471805599453,0.7154398560523987,1
5,0.04345395043492317,0.00869079027324915,0.019700417295098305,0.0021674614399671555,3.6768797144759446e-05,0.00869079027324915,0,2,0,3,0.6730116670092565,0.8461542129516602,1
4,0.4452410042285919,0.11131025105714798,0.2925802767276764,0.0024920962750911713,0.013385241851210594,0.11131025105714798,0,4,0,0,0.0,0.918791651725769,1
4,0.272125244140625,0.06803131103515625,0.14643628895282745,0.009431501850485802,0.0027575602289289236,0.06803131103515625,0,4,0,0,0.0,0.8518214821815491,1
5,0.997750997543335,0.19955019652843475,0.47137251496315,0.03498425334692001,0.028610875830054283,0.19955019652843475,3,1,1,0,0.9502705392332347,0.627651572227478,1
2,0.414314866065979,0.2071574330329895,0.2224102020263672,0.19190464913845062,0.0002326471876585856,0.2071574330329895,1,1,0,0,0.6931471805599453,0.7100889086723328,1
1,0.29205358028411865,0.29205358028411865,0.29205358028411865,0.29205358028411865,0.0,0.29205358028411865,0,1,0,0,0.0,0.8877548575401306,1
3,0.17925506830215454,0.059751689434051514,0.11059962958097458,0.007938885129988194,0.0017570037161931396,0.059751689434051514,1,2,0,0,0.6365141682948128,0.7598931193351746,1
3,0.559930682182312,0.1866435557603836,0.32618728280067444,0.11571832746267319,0.009737113490700722,0.1866435557603836,1,2,0,0,0.6365141682948128,0.7272263169288635,1
4,0.5131984949111938,0.12829962372779846,0.2353576123714447,0.05844643712043762,0.004711656831204891,0.12829962372779846,0,4,0,0,0.0,0.7560116052627563,1
3,0.600533127784729,0.20017771422863007,0.5268250107765198,0.029847832396626472,0.05338195338845253,0.20017771422863007,0,3,0,0,0.0,0.6530842781066895,1
4,0.40701472759246826,0.10175368189811707,0.26119697093963623,0.016271241009235382,0.009206635877490044,0.10175368189811707,1,3,0,0,0.5623351446188083,0.7048467993736267,1
5,0.6090216636657715,0.12180433422327042,0.32765132188796997,0.018447395414114,0.012971224263310432,0.12180433422327042,1,4,0,0,0.5004024235381879,0.7129207253456116,1
6,0.8858658671379089,0.1476443111896515,0.3504506051540375,0.0036808475852012634,0.014828908257186413,0.1476443111896515,0,5,0,1,0.45056120886630463,0.7764516472816467,1
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,1
6,0.6622374653816223,0.11037290841341019,0.3620193302631378,0.005408584140241146,0.02057703398168087,0.11037290841341019,1,5,0,0,0.45056120886630463,0.7161816954612732,1
3,0.25980931520462036,0.08660310506820679,0.20432618260383606,0.0048667206428945065,0.0072782002389431,0.08660310506820679,0,2,0,1,0.6365141682948128,0.6842226386070251,1
3,0.36042800545692444,0.12014266848564148,0.27557411789894104,0.01750064082443714,0.012493681162595749,0.12014266848564148,1,1,0,1,1.0986122886681096,0.7327032685279846,1
2,0.19098077714443207,0.09549038857221603,0.13116563856601715,0.05981513485312462,0.0012727235443890095,0.09549038857221603,0,2,0,0,0.0,0.8330256938934326,1
2,0.4311307370662689,0.21556536853313446,0.37063369154930115,0.060497041791677475,0.02404618449509144,0.21556536853313446,1,1,0,0,0.6931471805599453,0.6037126183509827,1
1,0.0509556345641613,0.0509556345641613,0.0509556345641613,0.0509556345641613,0.0,0.0509556345641613,1,0,0,0,0.0,0.9318852424621582,1
